,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Total_Interaction,User Type,User ID,Country ID,Classified Sentiment,Platform ID
33,Feeling inspired after attending a workshop,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,#Inspiration #Workshop,25,50,USA,2023,1,26,9,75,Influencer,User_34,US,Positive,IG
34,Winter sports day at the local park,Positive,2023-01-26 14:20:00,WinterSports,Twitter,#WinterSports #Fun,15,30,Canada,2023,1,26,14,45,Regular User,User_35,CA,Positive,X
35,Quality time with family this weekend,Positive,2023-01-26 17:40:00,FamilyTime,Facebook,#FamilyTime #Weekend,22,45,UK,2023,1,26,17,67,Influencer,User_36,UK,Positive,FB
36,Attending a live music concert tonight,Positive,2023-01-27 20:00:00,MusicLover,Instagram,#Music #ConcertNight,18,35,USA,2023,1,27,20,53,Influencer,User_37,US,Positive,IG
37,Practicing mindfulness with meditation,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,#Mindfulness #Meditation,15,30,India,2023,1,27,12,45,Regular User,User_38,IN,Positive,X
38,Trying out a new dessert recipe,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook,#Dessert #Cooking,12,25,Canada,2023,1,27,16,37,Regular User,User_39,CA,Positive,FB
39,Excited about the upcoming gaming tournament,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30,60,USA,2023,1,28,9,90,Influencer,User_40,US,Positive,IG
40,Planning a garden makeover for spring,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,#Gardening #Spring,25,50,USA,2023,1,28,14,75,Influencer,User_41,US,Positive,X
41,Celebrating a friends birthday tonight,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook,#Birthday #Celebration,15,30,UK,2023,1,28,19,45,Regular User,User_42,UK,Positive,FB
42,Feeling accomplished after a productive day,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,#Accomplished #Success,22,45,India,2023,1,29,17,67,Influencer,User_43,IN,Positive,IG
43,A cozy evening with a good movie,Positive,2023-01-29 20:20:00,MovieNight,Twitter,#CozyNight #MovieTime,18,35,Canada,2023,1,29,20,53,Influencer,User_44,CA,Positive,X
44,Exploring local art galleries this weekend,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook,#Art #GalleryExplore,15,30,USA,2023,1,30,11,45,Regular User,User_45,US,Positive,FB
45,New book release from my favorite author,Positive,2023-01-30 15:45:00,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12,25,UK,2023,1,30,15,37,Regular User,User_46,UK,Positive,IG
46,Attending a virtual reality meetup,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,#VRMeetup #VirtualReality,28,55,India,2023,1,30,18,83,Influencer,User_47,IN,Positive,X
47,Reflecting on the beauty of nature,Positive,2023-01-31 10:45:00,NatureLover,Facebook,#Nature #Reflection,15,30,Australia,2023,1,31,10,45,Regular User,User_48,AU,Positive,FB
48,Cooking a special dinner for loved ones,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20,40,USA,2023,1,31,19,60,Influencer,User_49,US,Positive,IG
49,Feeling optimistic about the week ahead,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,#Optimism #NewWeek,15,30,Canada,2023,1,31,16,45,Regular User,User_50,CA,Positive,X
50,Starting a new fitness challenge tomorrow,Positive,2023-02-01 08:00:00,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22,45,UK,2023,2,1,8,67,Influencer,User_51,UK,Positive,FB
51,Sunday bike ride through scenic trails,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18,35,USA,2023,2,1,13,53,Influencer,User_52,US,Positive,IG
52,Cant believe the injustice happening in our society,Anger,2023-02-11 09:30:00,SocialJustice,Twitter,#Injustice #Angry,20,40,Canada,2023,2,11,9,60,Influencer,User_53,CA,Negative,X
53,Feeling a sense of fear after watching a thriller movie,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram,#Fear #ThrillerMovie,15,30,USA,2023,2,11,21,45,Regular User,User_54,US,Negative,IG
54,Heartbroken after hearing the news about a natural disaster,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25,50,India,2023,2,12,14,75,Influencer,User_55,IN,Negative,FB
55,The state of the worlds environment is just disgusting,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,#Disgust #Environment,18,35,UK,2023,2,12,18,53,Influencer,User_56,UK,Negative,X
56,Pure happiness celebrating a loved ones achievement,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram,#Happiness #Celebration,30,60,USA,2023,2,13,10,90,Influencer,User_57,US,Positive,IG
57,Laughter is the best medicineenjoying a comedy show,Joy,2023-02-13 19:30:00,ComedyFan,Facebook,#Joy #ComedyShow,22,45,Canada,2023,2,13,19,67,Influencer,User_58,CA,Positive,FB
58,Sharing love and positive vibes with everyone,Love,2023-02-14 08:30:00,LoveSpreader,Twitter,#Love #SpreadLove,15,30,Australia,2023,2,14,8,45,Regular User,User_59,AU,Positive,X
59,An amusing incident brightened up my day,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,#Amusement #FunTimes,18,35,UK,2023,2,14,14,53,Influencer,User_60,UK,Negative,IG
60,Enjoying a quiet evening with a book and some tea,Enjoyment,2023-02-14 19:45:00,BookLoverAgain,Facebook,#Enjoyment #BookTime,25,50,Canada,2023,2,14,19,75,Influencer,User_61,CA,Negative,FB
61,Admiring the beauty of nature during a peaceful hike,Admiration,2023-02-15 11:30:00,NatureAdmirer,Twitter,#Admiration #Nature,20,40,USA,2023,2,15,11,60,Influencer,User_62,US,Negative,X
62,Sending affectionate vibes to all my followers,Affection,2023-02-15 16:00:00,AffectionSender,Instagram,#Affection #PositiveVibes,15,30,USA,2023,2,15,16,45,Regular User,User_63,US,Negative,IG
63,Experiencing awe at the breathtaking sunset,Awe,2023-02-15 20:30:00,AweStruck,Facebook,#Awe #Breathtaking,22,45,Australia,2023,2,15,20,67,Influencer,User_64,AU,Negative,FB
64,Disappointed with the service at a local restaurant,Disappointed,2023-02-16 09:00:00,FoodieGoneWrong,Twitter,#Disappointed #BadService,18,35,India,2023,2,16,9,53,Influencer,User_65,IN,Negative,X
65,A surprise gift from a friend made my day,Surprise,2023-02-16 14:45:00,HappySurprise,Instagram,#Surprise #Gift,25,50,USA,2023,2,16,14,75,Influencer,User_66,US,Negative,IG
66,Finding acceptance in the midst of lifes challenges,Acceptance,2023-02-16 18:20:00,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15,30,Canada,2023,2,16,18,45,Regular User,User_67,CA,Negative,FB
67,Overflowing with adoration for my adorable pet,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter,#Adoration #PetLove,22,45,UK,2023,2,17,10,67,Influencer,User_68,UK,Negative,X
68,Anticipating a thrilling adventure in the coming weeks,Anticipation,2023-02-17 07:30:00,AdventureAwaits,Instagram,#Anticipation #Adventure,20,40,USA,2023,2,17,7,60,Influencer,User_69,US,Negative,IG
69,A bitter experience turned into a valuable lesson,Bitter,2023-02-17 15:00:00,LearnFromBitter,Facebook,#BitterLesson #Growth,18,35,USA,2023,2,17,15,53,Influencer,User_70,US,Negative,FB
70,Finding calmness in the midst of a busy day,Calmness,2023-02-18 09:30:00,ZenMaster,Twitter,#Calmness #PeacefulMind,15,30,India,2023,2,18,9,45,Regular User,User_71,IN,Negative,X
71,Confusion clouds my mind as I navigate through decisions,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram,#Confusion #DecisionMaking,25,50,UK,2023,2,18,14,75,Influencer,User_72,UK,Negative,IG
72,Excitement building up for the upcoming vacation,Excitement,2023-02-18 18:45:00,VacationDreamer,Facebook,#Excitement #TravelPlans,22,45,Canada,2023,2,18,18,67,Influencer,User_73,CA,Negative,FB
73,Kindness witnessed today restored my faith in humanity,Kind,2023-02-19 11:30:00,KindnessPrevails,Twitter,#Kindness #Humanity,20,40,USA,2023,2,19,11,60,Influencer,User_74,US,Positive,X
74,Pride in achieving a personal milestone,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram,#Pride #Milestone,30,60,Australia,2023,2,19,16,90,Influencer,User_75,AU,Negative,IG
75,A moment of shame for not standing up against injustice,Shame,2023-02-19 19:45:00,ReflectiveSelf,Facebook,#Shame #Injustice,15,30,India,2023,2,19,19,45,Regular User,User_76,IN,Negative,FB
76,Fuming with anger after a heated argument,Anger,2023-02-20 09:30:00,AngryDebater,Twitter,#Anger #Argument,20,40,Canada,2023,2,20,9,60,Influencer,User_77,CA,Negative,X
77,The fear of the unknown is keeping me up at night,Fear,2023-02-20 21:15:00,FearfulDreamer,Instagram,#Fear #Unknown,15,30,USA,2023,2,20,21,45,Regular User,User_78,US,Negative,IG
78,Heartfelt sadness after bidding farewell to a dear friend,Sadness,2023-02-21 14:45:00,FarewellHeart,Facebook,#Sadness #Farewell,25,50,India,2023,2,21,14,75,Influencer,User_79,IN,Negative,FB
79,The state of corruption in our society is utterly disgusting,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter,#Disgust #Corruption,18,35,UK,2023,2,21,18,53,Influencer,User_80,UK,Negative,X
80,Overflowing happiness welcoming a new family member,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30,60,UK,2023,2,22,10,90,Influencer,User_81,UK,Positive,IG
81,Laughter is the key to joyattending a standup comedy show,Joy,2023-02-22 19:30:00,StandUpFan,Facebook,#Joy #StandUpComedy,22,45,Canada,2023,2,22,19,67,Influencer,User_82,CA,Positive,FB
82,Sending love to all my followers on this beautiful day,Love,2023-02-23 08:30:00,LoveSender,Twitter,#Love #SpreadLove,15,30,Australia,2023,2,23,8,45,Regular User,User_83,AU,Positive,X
83,Amused by the antics of my petits pure amusement,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram,#Amusement #PetAntics,18,35,UK,2023,2,23,14,53,Influencer,User_84,UK,Negative,IG
84,Enjoying every moment of this trippure enjoyment,Enjoyment,2023-02-23 19:45:00,TravelExplorer,Facebook,#Enjoyment #Travel,25,50,USA,2023,2,23,19,75,Influencer,User_85,US,Negative,FB
85,Admiring the dedication of volunteers at a local charity,Admiration,2023-02-24 11:30:00,CharityAdmirer,Twitter,#Admiration #Volunteers,20,40,USA,2023,2,24,11,60,Influencer,User_86,US,Negative,X
86,Sending affectionate vibes to friends and family,Affection,2023-02-24 16:00:00,FamilyLover,Instagram,#Affection #FamilyLove,15,30,USA,2023,2,24,16,45,Regular User,User_87,US,Negative,IG
87,Awestruck by the beauty of the night sky,Awe,2023-02-24 20:30:00,Stargazer,Facebook,#Awe #StarryNight,22,45,Australia,2023,2,24,20,67,Influencer,User_88,AU,Negative,FB
88,Disappointed with the lack of progress in a personal project,Disappointed,2023-02-25 09:00:00,ProjectStruggle,Twitter,#Disappointed #Project,18,35,India,2023,2,25,9,53,Influencer,User_89,IN,Negative,X
89,A surprise visit from an old friend brought tears of joy,Surprise,2023-02-25 14:45:00,JoyfulReunion,Instagram,#Surprise #OldFriends,25,50,USA,2023,2,25,14,75,Influencer,User_90,US,Negative,IG
90,Embracing acceptance of lifes ups and downs,Acceptance,2023-02-25 18:20:00,LifeAcceptance,Facebook,#Acceptance #LifeJourney,15,30,Canada,2023,2,25,18,45,Regular User,User_91,CA,Negative,FB
91,Overflowing adoration for a cute rescue puppy,Adoration,2023-02-26 10:45:00,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22,45,UK,2023,2,26,10,67,Influencer,User_92,UK,Negative,X
92,Anticipating the release of a muchawaited movie,Anticipation,2023-02-26 07:30:00,MovieBuff2,Instagram,#Anticipation #MovieRelease,20,40,Australia,2023,2,26,7,60,Influencer,User_93,AU,Negative,IG
93,Bitter experience at the customer service department,Bitter,2023-02-26 15:00:00,CustomerWoes,Facebook,#BitterExperience #CustomerService,18,35,USA,2023,2,26,15,53,Influencer,User_94,US,Negative,FB
94,Finding calmness amidst the chaos of daily life,Calmness,2023-02-27 09:30:00,CalmSoul,Twitter,#Calmness #InnerPeace,15,30,India,2023,2,27,9,45,Regular User,User_95,IN,Negative,X
95,Confusion reigns as I try to make sense of recent events,Confusion,2023-02-27 14:20:00,ConfusedMind2,Instagram,#Confusion #MakingSense,25,50,UK,2023,2,27,14,75,Influencer,User_96,UK,Negative,IG
96,Excitement building up for a surprise birthday party,Excitement,2023-02-27 18:45:00,BirthdayExcite,Facebook,#Excitement #SurpriseParty,22,45,Canada,2023,2,27,18,67,Influencer,User_97,CA,Negative,FB
97,Witnessed an act of kindness that made my day,Kind,2023-02-28 11:30:00,KindnessObserver,Twitter,#Kindness #ActsOfKindness,20,40,USA,2023,2,28,11,60,Influencer,User_98,US,Positive,X
98,Pride in completing a challenging fitness challenge,Pride,2023-02-28 16:00:00,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30,60,UK,2023,2,28,16,90,Influencer,User_99,UK,Negative,IG
99,A moment of shame for not speaking up against injustice,Shame,2023-02-28 19:45:00,ReflectiveSelf2,Facebook,#Shame #Injustice,15,30,India,2023,2,28,19,45,Regular User,User_100,IN,Negative,FB
100,Reflecting on the beauty of diversity in our world,Acceptance,2023-03-01 10:45:00,DiversityLover,Twitter,#Acceptance #Diversity,22,45,Australia,2023,3,1,10,67,Influencer,User_101,AU,Negative,X
101,Excitement for a quiet evening with a good book,Excitement,2023-03-01 13:30:00,BookwormJoy,Instagram,#Excitement #BookTime,18,35,USA,2023,3,1,13,53,Influencer,User_102,US,Negative,IG
102,Feeling bitter about the unfairness in the workplace,Bitter,2023-03-01 17:45:00,WorkplaceWoes,Twitter,#Bitter #Unfairness,15,30,Canada,2023,3,1,17,45,Regular User,User_103,CA,Negative,X
103,Calmness prevails as I practice mindfulness,Calmness,2023-03-02 18:00:00,MindfulMe,Facebook,#Calmness #Mindfulness,15,30,UK,2023,3,2,18,45,Regular User,User_104,UK,Negative,FB
104,Confusion surrounds me as I navigate through lifes choices,Confusion,2023-03-02 13:15:00,ConfusedMind3,Instagram,#Confusion #LifeChoices,30,60,USA,2023,3,2,13,90,Influencer,User_105,US,Negative,IG
105,Excitement for a weekend road trip to explore new places,Excitement,2023-03-02 16:45:00,RoadTripper2,Twitter,#Excitement #WeekendAdventure,25,50,India,2023,3,2,16,75,Influencer,User_106,IN,Negative,X
106,Kindness witnessed today restores my faith in humanity,Kind,2023-03-03 11:30:00,KindnessPrevails2,Facebook,#Kindness #HumanityRestored,22,45,USA,2023,3,3,11,67,Influencer,User_107,US,Positive,FB
107,Pride in accomplishing personal and professional goals,Pride,2023-03-03 14:30:00,GoalAchiever,Instagram,#Pride #Accomplishments,12,25,Canada,2023,3,3,14,37,Regular User,User_108,CA,Negative,IG
108,Shame for not being true to my values in a difficult situation,Shame,2023-03-03 12:00:00,ReflectiveSelf3,Twitter,#Shame #Integrity,15,30,UK,2023,3,3,12,45,Regular User,User_109,UK,Negative,X
109,Revisiting old memories feeling a sense of elation,Elation,2010-05-15 15:30:00,NostalgiaFan,Twitter,#Elation #Memories,20,40,Canada,2010,5,15,15,60,Influencer,User_110,CA,Negative,X
110,The victory of our team brought euphoria to the city,Euphoria,2021-08-10 21:15:00,SportsFanatic,Instagram,#Euphoria #Victory,15,30,USA,2021,8,10,21,45,Regular User,User_111,US,Negative,IG
111,Embracing the beauty of nature a moment of contentment,Contentment,2011-06-20 14:45:00,NatureLover2,Facebook,#Contentment #Nature,25,50,India,2011,6,20,14,75,Influencer,User_112,IN,Negative,FB
112,Meditating by the serene lake finding inner peace,Serenity,2022-02-12 18:20:00,ZenMaster2,Twitter,#Serenity #Meditation,18,35,UK,2022,2,12,18,53,Influencer,User_113,UK,Negative,X
113,Overflowing with gratitude for lifes blessings,Gratitude,2012-11-25 10:00:00,ThankfulHeart,Instagram,#Gratitude #Blessed,30,60,Australia,2012,11,25,10,90,Influencer,User_114,AU,Negative,IG
114,Hopeful for a brighter tomorrow despite challenges,Hope,2013-04-05 19:30:00,OptimisticSoul,Facebook,#Hope #Optimism,22,45,USA,2013,4,5,19,67,Influencer,User_115,US,Negative,FB
115,Empowered to make a difference in my community,Empowerment,2014-09-14 08:30:00,CommunityLeader,Twitter,#Empowerment #Community,15,30,UK,2014,9,14,8,45,Regular User,User_116,UK,Negative,X
116,Compassion in action supporting a local charity event,Compassion,2015-07-18 14:20:00,CharitySupporter,Instagram,#Compassion #CharityEvent,18,35,Canada,2015,7,18,14,53,Influencer,User_117,CA,Negative,IG
117,A moment of tenderness connecting with loved ones,Tenderness,2016-02-23 19:45:00,LovingHeart,Facebook,#Tenderness #FamilyTime,25,50,UK,2016,2,23,19,75,Influencer,User_118,UK,Negative,FB
118,Arousal of excitement as I await a special announcement,Arousal,2017-10-30 11:30:00,ExcitementFan,Twitter,#Arousal #Excitement,20,40,Australia,2017,10,30,11,60,Influencer,User_119,AU,Negative,X
119,Enthusiastically diving into a new project,Enthusiasm,2018-06-15 16:00:00,ProjectEnthusiast,Instagram,#Enthusiasm #NewProject,15,30,USA,2018,6,15,16,45,Regular User,User_120,US,Negative,IG
120,Feeling a sense of fulfillment after reaching a milestone,Fulfillment,2019-03-28 18:20:00,MilestoneAchiever,Facebook,#Fulfillment #Milestone,22,45,India,2019,3,28,18,67,Influencer,User_121,IN,Negative,FB
121,Reverence for the beauty of a historic landmark,Reverence,2019-11-11 15:00:00,HistoryLover,Twitter,#Reverence #History,18,35,UK,2019,11,11,15,53,Influencer,User_122,UK,Negative,X
122,Elation after a surprise reunion with old friends,Elation,2020-04-02 09:30:00,JoyfulReunion2,Instagram,#Elation #OldFriends,25,50,Canada,2020,4,2,9,75,Influencer,User_123,CA,Negative,IG
123,The euphoria of a live music concert under the stars,Euphoria,2021-06-19 14:45:00,MusicEnthusiast,Facebook,#Euphoria #LiveMusic,15,30,USA,2021,6,19,14,45,Regular User,User_124,US,Negative,FB
124,Contentment in the simplicity of a quiet Sunday,Contentment,2010-08-15 10:00:00,SimpleJoys,Twitter,#Contentment #SundayMood,30,60,Australia,2010,8,15,10,90,Influencer,User_125,AU,Negative,X
125,Serenity found in the pages of a favorite book,Serenity,2011-09-22 19:30:00,BookLover3,Instagram,#Serenity #BookTime,22,45,UK,2011,9,22,19,67,Influencer,User_126,UK,Negative,IG
126,Gratitude for the support received during tough times,Gratitude,2012-03-10 08:30:00,SupportiveFriend,Facebook,#Gratitude #Supportive,15,30,India,2012,3,10,8,45,Regular User,User_127,IN,Negative,FB
127,Hopeful about the possibilities of a new journey,Hope,2013-12-05 16:00:00,JourneyOptimist,Twitter,#Hope #NewBeginnings,18,35,Canada,2013,12,5,16,53,Influencer,User_128,CA,Negative,X
128,Empowerment through learning and personal growth,Empowerment,2014-07-20 11:30:00,GrowthSeeker,Instagram,#Empowerment #PersonalGrowth,25,50,USA,2014,7,20,11,75,Influencer,User_129,US,Negative,IG
129,Compassion towards those in need during the holidays,Compassion,2015-12-22 14:20:00,HolidayHelper,Facebook,#Compassion #HolidaySupport,18,35,USA,2015,12,22,14,53,Influencer,User_130,US,Negative,FB
130,Tenderness in the warmth of a cozy winter evening,Tenderness,2016-02-10 19:45:00,WinterWarmth,Twitter,#Tenderness #CozyEvening,25,50,UK,2016,2,10,19,75,Influencer,User_131,UK,Negative,X
131,Arousal of excitement for an upcoming adventure,Arousal,2017-04-30 11:30:00,AdventureAwaits,Instagram,#Arousal #AdventureTime,20,40,Australia,2017,4,30,11,60,Influencer,User_132,AU,Negative,IG
132,Enthusiasm for a creative project in the making,Enthusiasm,2018-09-15 16:00:00,CreativeSpirit,Facebook,#Enthusiasm #Creativity,15,30,Canada,2018,9,15,16,45,Regular User,User_133,CA,Negative,FB
133,Fulfillment in completing a challenging workout routine,Fulfillment,2019-06-28 18:20:00,FitnessAchiever,Twitter,#Fulfillment #FitnessGoals,22,45,India,2019,6,28,18,67,Influencer,User_134,IN,Negative,X
134,Reverence for the artistry displayed in a museum,Reverence,2020-11-11 15:00:00,ArtAppreciator,Instagram,#Reverence #ArtAppreciation,18,35,UK,2020,11,11,15,53,Influencer,User_135,UK,Negative,IG
135,Elation after achieving a personal goal,Elation,2021-03-02 09:30:00,GoalAchiever2,Facebook,#Elation #PersonalAchievement,25,50,USA,2021,3,2,9,75,Influencer,User_136,US,Negative,FB
136,Elation over discovering a hidden gem in the city,Elation,2012-02-18 14:30:00,UrbanExplorer2,Twitter,#Elation #HiddenGem,20,40,USA,2012,2,18,14,60,Influencer,User_137,US,Negative,X
137,The euphoria of a surprise birthday celebration,Euphoria,2018-11-05 21:45:00,BirthdayJoy,Instagram,#Euphoria #BirthdaySurprise,15,30,UK,2018,11,5,21,45,Regular User,User_138,UK,Negative,IG
138,Contentment in the simplicity of a homecooked meal,Contentment,2015-09-12 13:20:00,HomeChef,Facebook,#Contentment #HomeCooking,25,50,India,2015,9,12,13,75,Influencer,User_139,IN,Negative,FB
139,Serenity found in the melody of a peaceful piano,Serenity,2016-07-30 18:10:00,MusicLover4,Twitter,#Serenity #PeacefulMelody,18,35,Canada,2016,7,30,18,53,Influencer,User_140,CA,Negative,X
140,Gratitude for the supportive community around me,Gratitude,2013-04-20 10:30:00,CommunityLove,Instagram,#Gratitude #CommunitySupport,30,60,USA,2013,4,20,10,90,Influencer,User_141,US,Negative,IG
141,Hopeful about the prospects of a new business venture,Hope,2017-12-08 19:15:00,EntrepreneurHope,Facebook,#Hope #BusinessVenture,22,45,Canada,2017,12,8,19,67,Influencer,User_142,CA,Negative,FB
